epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
175,151,1,1,4,0,3,---,---,000,1,1,0,98,98
177,153,5,1,4,0,3,---,---,000,1,1,0,98,98
171,155,9,2,4,0,2,--,--,000,1,1,0,98,98
173,157,13,2,4,0,2,--,--,000,1,1,0,98,98
167,159,17,3,4,0,3,---,---,000,1,1,0,98,98
169,161,21,3,4,0,3,---,---,000,1,1,0,98,98
175,151,3,1,4,0,3,---,---,000,1,1,0,98,98
177,153,7,1,4,0,3,---,---,000,1,1,0,98,98
171,155,11,2,4,0,2,--,--,000,1,1,0,98,98
173,157,15,2,4,0,2,--,--,000,1,1,0,98,98
167,159,19,3,4,0,3,---,---,000,1,1,0,98,98
169,161,23,3,4,0,3,---,---,000,1,1,0,98,98
163,163,26,4,4,0,1,-,-,000,1,1,0,98,98
163,163,25,4,4,0,1,-,-,000,1,1,0,98,98
156,164,28,5,4,0,4,----,----,000,1,1,0,98,98
158,166,30,5,4,0,4,----,----,000,1,1,0,98,98
156,164,31,5,4,0,4,----,----,000,1,1,0,98,98
158,166,33,5,4,0,4,----,----,000,1,1,0,98,98
148,164,35,6,4,0,2,--,--,000,1,1,0,98,98
150,166,37,6,4,0,2,--,--,000,1,1,0,98,98
148,164,39,6,4,0,2,--,--,000,1,1,0,98,98
151,166,41,6,4,0,2,--,--,000,1,1,0,98,98
140,164,43,7,4,0,3,---,---,000,1,1,0,98,98
143,167,45,7,4,0,3,---,---,000,1,1,0,98,98
140,164,47,7,4,0,3,---,---,000,1,1,0,98,98
143,167,49,7,4,0,3,---,---,000,1,1,0,98,98
186,162,1,1,4,0,3,---,---,000,1,1,0,98,98
188,164,3,1,4,0,3,---,---,000,1,1,0,98,98
186,162,5,1,4,0,3,---,---,000,1,1,0,98,98
189,165,7,1,4,0,3,---,---,000,1,1,0,98,98
178,163,9,2,4,0,2,--,--,000,1,1,0,98,98
181,165,11,2,4,0,2,--,--,000,1,1,0,98,98
179,163,13,2,4,0,2,--,--,000,1,1,0,98,98
181,165,15,2,4,0,2,--,--,000,1,1,0,98,98
171,163,17,3,4,0,3,---,---,000,1,1,0,98,98
173,165,19,3,4,0,3,---,---,000,1,1,0,98,98
171,163,21,3,4,0,3,---,---,000,1,1,0,98,98
173,165,23,3,4,0,3,---,---,000,1,1,0,98,98
1361,1337,1,1,4,0,3,---,---,000,1,1,0,98,98
1364,1340,5,1,4,0,3,---,---,000,1,1,0,98,98
1358,1342,9,2,4,0,2,--,--,000,1,1,0,98,98
1361,1345,13,2,4,0,2,--,--,000,1,1,0,98,98
1355,1347,17,3,4,0,3,---,---,000,1,1,0,98,98
1357,1349,21,3,4,0,3,---,---,000,1,1,0,98,98
166,166,25,4,4,0,1,-,-,000,1,1,0,98,98
166,166,26,4,4,0,1,-,-,000,1,1,0,98,98
160,168,28,5,4,0,4,----,----,000,1,1,0,98,98
162,170,31,5,4,0,4,----,----,000,1,1,0,98,98
157,173,35,6,4,0,2,--,--,000,1,1,0,98,98
159,175,39,6,4,0,2,--,--,000,1,1,0,98,98
153,177,43,7,4,0,3,---,---,000,1,1,0,98,98
156,180,47,7,4,0,3,---,---,000,1,1,0,98,98
1361,1337,3,1,4,0,3,---,---,000,1,1,0,98,98
1364,1340,7,1,4,0,3,---,---,000,1,1,0,98,98
1358,1342,11,2,4,0,2,--,--,000,1,1,0,98,98
1361,1345,15,2,4,0,2,--,--,000,1,1,0,98,98
1355,1347,19,3,4,0,3,---,---,000,1,1,0,98,98
1357,1349,23,3,4,0,3,---,---,000,1,1,0,98,98
1352,1352,26,4,4,0,1,-,-,000,1,1,0,98,98
1352,1352,25,4,4,0,1,-,-,000,1,1,0,98,98
160,168,30,5,4,0,4,----,----,000,1,1,0,98,98
163,171,33,5,4,0,4,----,----,000,1,1,0,98,98
157,173,37,6,4,0,2,--,--,000,1,1,0,98,98
159,175,41,6,4,0,2,--,--,000,1,1,0,98,98
154,177,45,7,4,0,3,---,---,000,1,1,0,98,98
156,180,49,7,4,0,3,---,---,000,1,1,0,98,98
1344,1352,28,5,4,0,4,----,----,000,1,1,0,98,98
1347,1355,30,5,4,0,4,----,----,000,1,1,0,98,98
1345,1353,31,5,4,0,4,----,----,000,1,1,0,98,98
1347,1355,33,5,4,0,4,----,----,000,1,1,0,98,98
1337,1353,35,6,4,0,2,--,--,000,1,1,0,98,98
1339,1355,37,6,4,0,2,--,--,000,1,1,0,98,98
1337,1353,39,6,4,0,2,--,--,000,1,1,0,98,98
1339,1355,41,6,4,0,2,--,--,000,1,1,0,98,98
1329,1353,43,7,4,0,3,---,---,000,1,1,0,98,98
1331,1355,45,7,4,0,3,---,---,000,1,1,0,98,98
1329,1353,47,7,4,0,3,---,---,000,1,1,0,98,98
1331,1355,49,7,4,0,3,---,---,000,1,1,0,98,98
